ticker,company,price_usd,price_as_of,market_cap_usd,shares_outstanding,revenue_usd,ebitda_usd,net_income_usd,total_debt_usd,cash_usd,net_debt_usd,fiscal_year,financial_source,notes
KGC,Kinross Gold Corporation,25.05,2026-09-25,,,7051100000.0,3277600000.0,2470000000.0,938100000.0,1742300000.0,-804200000.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 kinross-2025-q4-release.pdf,"EBITDA figure is operating income (EBITDA undisclosed); debt: sum of debt line items: Current portion of long-term debt 199.9; Non-current liabilities Long-term debt 738.2 1,235; market cap not computed: shares outstanding undisclosed"
KGH,KGHM Polska Miedź S.A.,86.1613,2026-09-25,,,9480616200.0,,961461600.0,,115490100.0,,2025,Yahoo Finance quote (2026-09-25) + FY2025 kghm-ar-2025.txt,"price 330.5 PLN converted at 0.2607 USD/PLN; total debt blanked (borrowings-line extraction unreliable for KGHM); statements in PLN; FX 0.2607 USD/PLN (Yahoo PLNUSD=X=0.2607, 2026-09-25); debt: sum of debt line items: .1 Borrowings and leases 2434 2310; .1 Borrowings and leases 811 1259; market cap not computed: shares outstanding undisclosed"
KNT,K92 Mining Inc.,20.8241,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 k92-aif-2025.pdf,price 29.45 CAD converted at 0.7071 USD/CAD; no financial statements found; market cap not computed: shares outstanding undisclosed
LGD,Liberty Gold Corp.,1.5627,2026-09-25,,,,,-25334520.0,653168.0,28076857.0,-27423689.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 liberty-2025-annual-report.pdf,"price 2.21 CAD converted at 0.7071 USD/CAD; debt: sum of debt line items: Lease liabilities 158,365 57,907; Non-current liabilities Lease liabilities 494,803; market cap not computed: shares outstanding undisclosed"
LUCA,Luca Mining Corp.,0.799,2026-09-25,,,,226000000.0,,1270.0,25515.0,-24245.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 luca-2025-q4-mda.txt,"price 1.13 CAD converted at 0.7071 USD/CAD; EBITDA figure is Adjusted EBITDA; debt: sum of debt line items: Lease liabilities 1,270 9,055 10,325; market cap not computed: shares outstanding undisclosed"
LUG,Lundin Gold Inc.,64.7633,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 lundingold-2025-aif.txt,price 91.59 CAD converted at 0.7071 USD/CAD; no financial statements found; market cap not computed: shares outstanding undisclosed
LUNR,LunR Royalties Corp.,,,,,,,,,,,2025,FY2025 lunr-mda-20260331.pdf (no market quote),no Yahoo quote (TSX-V:LUNR)
MAG,MAG Silver Corp.,,,,,,,,,,,2024,,"delisted (acquired by Pan American Silver, 2025); no quote; no PDF or text file in report folder"
MAI,Mining Americas Inc.,4.1153,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price 5.82 CAD converted at 0.7071 USD/CAD; report not obtained; market cap not computed: shares outstanding undisclosed
MAU,Montage Gold Corp.,14.0713,2026-09-25,5126304624.0,364309500,,,49580000.0,,191776000.0,,2025,Yahoo Finance quote (2026-09-25) + FY2025 montage-gold-2025-annual-report.pdf,price 19.9 CAD converted at 0.7071 USD/CAD; market cap computed as price x shares outstanding
MEK,Meeka Metals Limited,0.0703,2026-09-24,,,,,,,,,2026,Yahoo Finance quote (2026-09-24),price 0.1 AUD converted at 0.7029 USD/AUD; report not obtained; market cap not computed: shares outstanding undisclosed
MFRISCO,"Minera Frisco, S.A.B. de C.V.",,,,,,,,,,,2025,,no Yahoo quote (BMV: MFRISCOA.MX not returned); no financial statements found
MI6,Minerals 260 Limited,0.6607,2026-09-24,,,,,,,,,2025,Yahoo Finance quote (2026-09-24) + FY2025 ar-text.txt,"price 0.94 AUD converted at 0.7029 USD/AUD; statements in AUD; FX 0.7029 USD/AUD (Yahoo AUDUSD=X=0.7029, 2026-09-25); market cap not computed: shares outstanding undisclosed"
MKO,Mako Mining Corp.,10.062,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 mko-2025-mda.pdf,price 14.23 CAD converted at 0.7071 USD/CAD; no financial statements found; market cap not computed: shares outstanding undisclosed
MKR,Manuka Resources Limited,0.045,2026-09-24,,,,,,,,,2025,Yahoo Finance quote (2026-09-24),price 0.064 AUD converted at 0.7029 USD/AUD; report not obtained; market cap not computed: shares outstanding undisclosed
MNO,Meridian Mining plc,1.6405,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 meridian-cabacal-pfs-2025.pdf,price 2.32 CAD converted at 0.7071 USD/CAD; no financial statements found; market cap not computed: shares outstanding undisclosed
MSA,Mineros S.A.,7.0356,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 mineros-q4-2025-mda.txt,price 9.95 CAD converted at 0.7071 USD/CAD; no financial statements found; market cap not computed: shares outstanding undisclosed
MTA,Metalla Royalty & Streaming Ltd.,10.07,2026-09-25,935497441.0,92899448,,4700000.0,,,9794000.0,,2025,Yahoo Finance quote (2026-09-25) + FY2025 metalla-2025-40f.pdf,EBITDA figure is Adjusted EBITDA; market cap computed as price x shares outstanding
